"","Date","Latitude","Longitude","water_temp"
"351",2019-08-07,38.90431,-77.07193,28
"352",2019-08-07,38.9187,-77.1031,27
"353",2019-08-07,38.93831,-77.05258,21
"354",2019-08-07,38.90008,-77.05842,28
"355",2019-08-07,38.9098,-76.9618,23
"356",2019-08-07,38.8774,-77.0246,27
"357",2019-08-07,38.97634,-77.0522,21.5
"358",2019-08-07,38.9116,-76.9546,23.5
"359",2019-08-07,38.8799,-76.9709,25
"360",2019-08-07,38.87278,-77.0006,29
"361",2019-08-07,38.92586,-77.0951,20.25
"362",2019-08-07,38.92176,-77.06027,20
"363",2019-08-07,38.9466,-77.05575,22
"364",2019-08-07,38.95748,-77.06218,22.5
"365",2019-08-07,38.91583,-77.08306,20.25
"366",2019-08-07,38.87637,-77.04671,29
"367",2019-08-07,38.9089,-77.0507,24
"368",2019-08-07,38.88495,-77.0355,29
"369",2019-08-14,38.9832,-77.0407,23
"370",2019-08-14,38.9466,-77.05575,22
"371",2019-08-14,38.90008,-77.05842,26.5
"372",2019-08-14,38.97634,-77.0522,22
"373",2019-08-14,38.90431,-77.07193,26
"374",2019-08-14,38.8939,-76.9655,26
"375",2019-08-14,38.86535,-77.0102,27
"376",2019-08-14,38.8799,-76.9709,27
"377",2019-08-14,38.87278,-77.0006,29
"378",2019-08-14,38.93337,-77.05024,23.5
"379",2019-08-14,38.9089,-77.0507,24
"380",2019-08-14,38.87637,-77.04671,28
"381",2019-08-14,38.92176,-77.06027,21
"382",2019-08-14,38.88495,-77.0355,27.5
"383",2019-08-14,38.93831,-77.05258,23
"384",2019-08-14,38.8774,-77.0246,28
"385",2019-08-14,38.92586,-77.0951,20.5
"386",2019-08-14,38.9187,-77.1031,27
"387",2019-08-14,38.91583,-77.08306,21.5
"388",2019-08-14,38.77654,-77.04784,27.5
"389",2019-08-14,38.77654,-77.04784,27.5
"390",2019-08-21,38.9832,-77.0407,24
"391",2019-08-21,38.90008,-77.05842,25
"392",2019-08-21,38.86535,-77.0102,27
"393",2019-08-21,38.92586,-77.0951,20
"394",2019-08-21,38.93831,-77.05258,24.5
"395",2019-08-21,38.93337,-77.05024,24
"396",2019-08-21,38.92176,-77.06027,21
"397",2019-08-21,38.90431,-77.07193,28
"398",2019-08-21,38.9098,-76.9618,23
"399",2019-08-21,38.9187,-77.1031,26.5
"400",2019-08-21,38.8939,-76.9655,27
"401",2019-08-21,38.9116,-76.9546,26
"402",2019-08-21,38.9089,-77.0507,24
"403",2019-08-21,38.91583,-77.08306,22
"404",2019-08-21,38.8799,-76.9709,27
"405",2019-08-21,38.87278,-77.0006,29
"406",2019-08-21,38.9466,-77.05575,22
"407",2019-08-21,38.87637,-77.04671,28
"408",2019-08-21,38.95748,-77.06218,22
"409",2019-08-21,38.88495,-77.0355,28
"410",2019-08-21,38.8774,-77.0246,29
"411",2019-08-21,38.77654,-77.04784,27
"412",2019-08-21,38.97634,-77.0522,23.5
"413",2019-08-28,38.9466,-77.05575,20
"414",2019-08-28,38.91583,-77.08306,19.5
"415",2019-08-28,38.8939,-76.9655,24
"416",2019-08-28,38.86535,-77.0102,25
"417",2019-08-28,38.9187,-77.1031,23
"418",2019-08-28,38.9098,-76.9618,20
"419",2019-08-28,38.97634,-77.0522,20
"420",2019-08-28,38.87278,-77.0006,26
"421",2019-08-28,38.93831,-77.05258,19
"422",2019-08-28,38.9116,-76.9546,23
"423",2019-08-28,38.9089,-77.0507,22
"424",2019-08-28,38.92586,-77.0951,19.5
"425",2019-08-28,38.8799,-76.9709,25
"426",2019-08-28,38.93337,-77.05024,21
"427",2019-08-28,38.87637,-77.04671,25
"428",2019-08-28,38.92176,-77.06027,20
"429",2019-08-28,38.9832,-77.0407,21
"430",2019-08-28,38.88495,-77.0355,25
"431",2019-08-28,38.95748,-77.06218,20
"432",2019-08-28,38.90431,-77.07193,23.5
"433",2019-08-28,38.8774,-77.0246,27
"434",2019-08-28,38.77654,-77.04784,25
"435",2019-08-28,38.90008,-77.05842,24
"436",2019-09-04,38.90008,-77.05842,25
"437",2019-09-04,38.91583,-77.08306,20.5
"438",2019-09-04,38.86535,-77.0102,26
"439",2019-09-04,38.9098,-76.9618,22
"440",2019-09-04,38.95748,-77.06218,21
"441",2019-09-04,38.90431,-77.07193,25
"442",2019-09-04,38.9187,-77.1031,25
"443",2019-09-04,38.9116,-76.9546,25
"444",2019-09-04,38.9089,-77.0507,23
"445",2019-09-04,38.87278,-77.0006,26.5
"446",2019-09-04,38.92586,-77.0951,20
"447",2019-09-04,38.9466,-77.05575,22
"448",2019-09-04,38.93831,-77.05258,20
"449",2019-09-04,38.8939,-76.9655,26
"450",2019-09-04,38.87637,-77.04671,26
"451",2019-09-04,38.92176,-77.06027,20
"452",2019-09-04,38.8799,-76.9709,26
"453",2019-09-04,38.93337,-77.05024,22
"454",2019-09-04,38.77654,-77.04784,27
"455",2019-09-04,38.9832,-77.0407,23
"456",2019-09-04,38.88495,-77.0355,26.5
"457",2019-09-04,38.8774,-77.0246,26
"458",2019-09-04,38.97634,-77.0522,22
"459",2019-09-11,38.87278,-77.0006,24.5
"460",2019-09-11,38.90008,-77.05842,25
"461",2019-09-11,38.8939,-76.9655,25
"462",2019-09-11,38.86535,-77.0102,25
"463",2019-09-11,38.9832,-77.0407,22
"464",2019-09-11,38.90431,-77.07193,24
"465",2019-09-11,38.9187,-77.1031,24
"466",2019-09-11,38.8799,-76.9709,25
"467",2019-09-11,38.9098,-76.9618,21
"468",2019-09-11,38.97634,-77.0522,20
"469",2019-09-11,38.92586,-77.0951,19
"470",2019-09-11,38.9116,-76.9546,25
"471",2019-09-11,38.9466,-77.05575,22
"472",2019-09-11,38.92176,-77.06027,20
"473",2019-09-11,38.95748,-77.06218,21
"474",2019-09-11,38.9089,-77.0507,21.5
"475",2019-09-11,38.91583,-77.08306,20
"476",2019-09-11,38.93337,-77.05024,20
"477",2019-09-11,38.77654,-77.04784,25
"478",2019-09-11,38.87637,-77.04671,25
"479",2019-09-11,38.8774,-77.0246,25
"480",2019-09-11,38.93831,-77.05258,21
"481",2019-09-11,38.88495,-77.0355,26
"482",2019-09-18,38.77654,-77.04784,24
"483",2019-09-18,38.77654,-77.04784,24
"484",2019-09-25,38.77654,-77.04784,22.5
"485",2018-09-26,38.9116,-76.9546,20
"486",2018-09-26,38.9098,-76.9618,22
"487",2018-09-26,38.9832,-77.0407,20
"488",2018-09-26,38.8939,-76.9655,21
"489",2018-09-26,38.87637,-77.04671,20
"490",2018-09-26,38.8799,-76.9709,21
"491",2018-09-26,38.97634,-77.0522,19.5
"492",2018-09-26,38.8774,-77.0246,21.5
"493",2018-09-26,38.9187,-77.1031,19
"494",2018-09-26,38.95748,-77.06218,21
"495",2018-09-26,38.86535,-77.0102,21.5
"496",2018-09-26,38.91583,-77.08306,20
"497",2018-09-26,38.9466,-77.05575,20
"498",2018-09-26,38.87278,-77.0006,21.5
"499",2018-09-26,38.92586,-77.0951,19
"500",2018-09-26,38.93831,-77.05258,19.5
"501",2018-09-26,38.93337,-77.05024,20
"502",2018-09-26,38.90431,-77.07193,19.5
"503",2018-09-26,38.92176,-77.06027,20
"504",2018-09-26,38.90008,-77.05842,19
"505",2018-09-26,38.88495,-77.0355,22
"506",2018-09-26,38.9089,-77.0507,20
"507",2019-10-02,38.77654,-77.04784,24
"508",2019-05-23,38.784099,-77.018505,21
"509",2019-05-29,38.784099,-77.018505,25.5
"510",2019-06-05,38.784099,-77.018505,24
"511",2019-06-05,38.784099,-77.018505,24
"512",2019-06-12,38.784099,-77.018505,22
"513",2019-06-20,38.784099,-77.018505,25
"514",2019-06-26,38.784099,-77.018505,25
"515",2019-07-02,38.784099,-77.018505,25
"516",2019-07-10,38.784099,-77.018505,25
"517",2019-07-10,38.784099,-77.018505,26
"518",2019-07-17,38.784099,-77.018505,28.5
"519",2019-07-24,38.784099,-77.018505,27
"520",2019-07-31,38.784099,-77.018505,28
"521",2019-07-31,38.784099,-77.018505,28.5
"522",2019-08-07,38.784099,-77.018505,28
"523",2019-08-14,38.784099,-77.018505,27
"524",2019-08-21,38.784099,-77.018505,28
"525",2019-08-28,38.784099,-77.018505,25
"526",2019-09-04,38.784099,-77.018505,26
"527",2019-09-11,38.784099,-77.018505,25
"528",2019-09-18,38.784099,-77.018505,25
"529",2019-09-25,38.784099,-77.018505,12.1
"530",2019-09-25,38.784099,-77.018505,11.7
"531",2019-10-02,38.784099,-77.018505,26.5
"532",2019-02-02,38.00368,-78.50852,1.9
"533",2019-02-02,38.01015,-78.51667,2.3
"534",2019-02-02,38.02335,-78.45388,1.7
"535",2019-02-02,38.045668,-78.4513,1.4
"536",2018-02-24,37.9080349,-77.2992656,13
"537",2019-03-02,38.01015,-78.51667,6.3
"538",2019-03-02,38.00368,-78.50852,6.2
"539",2019-03-02,38.02335,-78.45388,6.3
"540",2019-03-02,38.045668,-78.4513,6.2
"541",2019-03-06,38.02335,-78.45388,6
"542",2019-03-06,38.045668,-78.4513,6.2
"543",2018-04-02,37.9080349,-77.2992656,13.5
"544",2019-04-06,38.01015,-78.51667,10.1
"545",2019-04-06,38.00368,-78.50852,10.2
"546",2019-04-06,38.02335,-78.45388,10.9
"547",2019-04-06,38.045668,-78.4513,10.9
"548",2019-04-14,38.0279,-77.2329,17.7
"549",2018-05-03,38.9732,-76.4924,16.6
"550",2018-05-03,38.9732,-76.4924,15.1
"551",2018-05-03,38.9732,-76.4924,14.1
"552",2018-05-03,38.9724,-76.4893,16.4
"553",2018-05-03,38.9724,-76.4893,15
"554",2018-05-03,38.9724,-76.4893,13.8
"555",2018-05-03,38.9734,-76.4879,16.5
"556",2018-05-03,38.9734,-76.4879,16.2
"557",2018-05-03,38.9734,-76.4879,15.9
"558",2018-05-03,38.9699,-76.4996,17.3
"559",2018-05-03,38.9699,-76.4996,16.3
"560",2018-05-03,38.9699,-76.4996,14.5
"561",2018-05-03,38.9678,-76.4971,17.1
"562",2018-05-03,38.9678,-76.4971,16.8
"563",2018-05-03,38.9695,-76.5023,17.9
"564",2018-05-03,38.9695,-76.5023,15.8
"565",2018-05-03,38.9695,-76.5023,14
"566",2018-05-03,38.9724,-76.4958,17.2
"567",2018-05-03,38.9724,-76.4958,16.8
"568",2018-05-03,38.9724,-76.4958,15.6
"569",2018-05-03,38.9753,-76.4782,15.6
"570",2018-05-03,38.9753,-76.4782,15.6
"571",2018-05-03,38.9753,-76.4782,15.5
"572",2018-05-03,38.9753,-76.4837,16
"573",2018-05-03,38.9753,-76.4837,15.2
"574",2018-05-03,38.9753,-76.4837,14.5
"575",2019-05-04,38.02335,-78.45388,20.7
"576",2019-05-04,38.045668,-78.4513,20.5
"577",2018-05-12,37.9080349,-77.2992656,22.1
"578",2019-05-19,38.0279,-77.2329,23.3
"579",2018-05-24,38.9732,-76.4924,22.6
"580",2018-05-24,38.9732,-76.4924,22.3
"581",2018-05-24,38.9732,-76.4924,20.9
"582",2018-05-24,38.9724,-76.4893,22.9
"583",2018-05-24,38.9724,-76.4893,22
"584",2018-05-24,38.9724,-76.4893,20.9
"585",2018-05-24,38.9699,-76.4996,22.8
"586",2018-05-24,38.9699,-76.4996,22.8
"587",2018-05-24,38.9699,-76.4996,22.7
"588",2018-05-24,38.9695,-76.5023,23
"589",2018-05-24,38.9695,-76.5023,22.8
"590",2018-05-24,38.9695,-76.5023,22
